sku,image 1,image 2,image 3,image 1 result,image 2 result,image 3 result,image 1 confidence,image 2 confidence,image 3 confidence
00100210-W,https://www.mumzworld.com/media/catalog/product/4/7/4717115102319.jpg,,,NO,ERROR - No image,ERROR - No image,0.4,0,0
EM-3228,https://www.mumzworld.com/media/catalog/product/e/m/em-3228-1.jpg,https://www.mumzworld.com/media/catalog/product/e/m/em-3228.jpg,,NO,NO,ERROR - No image,0,0,0
MD-11001B,https://www.mumzworld.com/media/catalog/product/m/d/md-11001b_1.jpg,,,NO,ERROR - No image,ERROR - No image,0.6000000000000001,0,0
COCO-16-201MGL,https://www.mumzworld.com/media/catalog/product/c/o/coco-16-201mgl_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-16-201mgl.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-16-202MBC,https://www.mumzworld.com/media/catalog/product/c/o/coco-16-202mbc_1.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
COCO-21-110CPN,https://www.mumzworld.com/media/catalog/product/c/o/coco-21-110cpn_1.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
IS-794187059530,https://www.mumzworld.com/media/catalog/product/i/s/is-794187059530-4.jpg,https://www.mumzworld.com/media/catalog/product/i/s/is-794187059530-2.jpg,https://www.mumzworld.com/media/catalog/product/i/s/is-794187059530-1.jpg,NO,NO,NO,0,0,0
IS-794187062202,https://www.mumzworld.com/media/catalog/product/I/S/IS-794187062202_1.jpg,,,NO,ERROR - No image,ERROR - No image,0,0,0
COCO-103-B,https://www.mumzworld.com/media/catalog/product/c/o/coco-103-b_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-103-b.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-103-G,https://www.mumzworld.com/media/catalog/product/c/o/coco-103-g_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-103-g.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-104-B,https://www.mumzworld.com/media/catalog/product/c/o/coco-104-b_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-104-b_2.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-104-G,https://www.mumzworld.com/media/catalog/product/c/o/coco-104-g_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-104-g-1.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-06-105PB,https://www.mumzworld.com/media/catalog/product/c/o/coco-06-105pb_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-06-105pb.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-06-104MP-1,https://www.mumzworld.com/media/catalog/product/c/o/coco-06-104mp-1_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-06-104mp-1.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-06-104MP-2,https://www.mumzworld.com/media/catalog/product/c/o/coco-06-104mp-2_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-06-104mp-2.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-06-104MP-3,https://www.mumzworld.com/media/catalog/product/c/o/coco-06-104mp-3_1.jpg,,,NO,ERROR - No image,ERROR - No image,0.4,0,0
COCO-06-107-GA,https://www.mumzworld.com/media/catalog/product/C/O/COCO-06-107-GA_1.JPG,https://www.mumzworld.com/media/catalog/product/C/O/COCO-06-107-GA.JPG,,NO,NO,ERROR - No image,0.4,0.4,0
COCO-06-108-SH,https://www.mumzworld.com/media/catalog/product/C/O/COCO-06-108-SH_1.JPG,https://www.mumzworld.com/media/catalog/product/C/O/COCO-06-108-SH.JPG,,NO,NO,ERROR - No image,0,0,0
COCO-06-103-PT,https://www.mumzworld.com/media/catalog/product/C/O/COCO-06-103-PT_1.JPG,https://www.mumzworld.com/media/catalog/product/C/O/COCO-06-103-PT.JPG,,NO,NO,ERROR - No image,0,0,0
COCO-16-101-LPB,https://www.mumzworld.com/media/catalog/product/c/o/coco-16-101-lpb-001_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-16-101-lpb-001.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-16-101-LPB-1,https://www.mumzworld.com/media/catalog/product/c/o/coco-16-101-lpb-1-001_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-16-101-lpb-1-001.jpg,,NO,NO,ERROR - No image,0,0,0
COCO-26-101-PBW-B,https://www.mumzworld.com/media/catalog/product/c/o/coco-26-101-pbw-b_1.jpg,https://www.mumzworld.com/media/catalog/product/c/o/coco-26-101-pbw-b.jpg,,NO,NO,ERROR - No image,0,0,0
